"index","category","Name","Price"
"0","Groceries","Pineapple","65"
"1","Groceries","Sugarcane","55"
"2","Groceries","Banana","75"
"3","Groceries","Apple","110"
"4","Groceries","Brinjal","19"
"5","Groceries","Brocauli","75"
"6","Groceries","Cabbage","41.5"
"7","Groceries","Capsicum","57.5"
"8","Groceries","Carrot","32.5"
"9","Groceries","Cauliflower","32.5"
"10","Groceries","Chilli Green","105"
"11","Groceries","Coriander Green","100"
"12","Groceries","Cucumber","27.5"
"13","Groceries","Garlic","69.16666667"
"14","Groceries","Ginger","145"
"15","Groceries","Gourd","27.08333333"
"16","Groceries","Grapes","255"
"17","Groceries","Jack Fruit","22.5"
"18","Groceries","Lemon","300"
"19","Groceries","Lettuce","57.5"
"20","Groceries","Mango","55"
"21","Groceries","Mint","125"
"22","Groceries","Mushroom","155"
"23","Groceries","Onion","29"
"24","Groceries","Orange","95"
"25","Groceries","Papaya","65"
"26","Groceries","Peas","57.5"
"27","Groceries","Pomegranate","210"
"28","Groceries","Potato","18"
"29","Groceries","Pumpkin","19"
"30","Groceries","Raddish","32.5"
"31","Groceries","Tamarind","67.5"
"32","Groceries","Tomato","33.25"
"33","Groceries","Turnip","45"
"34","Groceries","Water Melon","16.5"
"35","Groceries","Pineapple","65"
"36","Groceries","Sugarcane","65"
"37","Groceries","Banana","75"
"38","Groceries","Apple","120"
"39","Groceries","Brinjal","23.25"
"40","Groceries","Brocauli","75"
"41","Groceries","Cabbage","36.5"
"42","Groceries","Capsicum","57.5"
"43","Groceries","Carrot","37.5"
"44","Groceries","Cauliflower","27.5"
"45","Groceries","Chilli Green","105"
"46","Groceries","Coriander Green","95"
"47","Groceries","Cucumber","27.5"
"48","Groceries","Garlic","69.16666667"
"49","Groceries","Ginger","145"
"50","Groceries","Gourd","27.83333333"
"51","Groceries","Grapes","255"
"52","Groceries","Jack Fruit","22.5"
"53","Groceries","Lemon","300"
"54","Groceries","Lettuce","47.5"
"55","Groceries","Mango","55"
"56","Groceries","Mint","125"
"57","Groceries","Mushroom","190"
"58","Groceries","Onion","29.5"
"59","Groceries","Orange","95"
"60","Groceries","Papaya","65"
"61","Groceries","Peas","57.5"
"62","Groceries","Pomegranate","210"
"63","Groceries","Potato","18"
"64","Groceries","Pumpkin","19"
"65","Groceries","Raddish","35"
"66","Groceries","Tamarind","67.5"
